"Folio_num_anon" "Poch" "Freq"
"318" 569 2 6
"319" 569 3 1
"320" 569 6 2
"321" 569 7 5
"322" 569 8 1
"323" 569 9 8
"324" 569 10 9
"325" 253 2 3
"326" 253 3 2
"327" 253 5 2
"328" 253 6 3
"329" 253 7 2
"330" 253 8 1
"331" 253 9 13
"332" 253 10 6
"333" 435 1 6
"334" 435 2 5
"335" 435 4 2
"336" 435 5 3
"337" 435 6 2
"338" 435 7 5
"339" 435 9 5
"340" 435 10 4
"341" 328 2 15
"342" 328 3 3
"343" 328 4 1
"344" 328 6 1
"345" 328 7 8
"346" 328 9 4
"347" 450 1 2
"348" 450 2 2
"349" 450 3 2
"350" 450 4 2
"351" 450 5 1
"352" 450 6 10
"353" 450 8 1
"354" 450 9 8
"355" 450 10 4
"356" 554 1 9
"357" 554 2 7
"358" 554 3 2
"359" 554 4 2
"360" 554 5 4
"361" 554 6 2
"362" 554 7 3
"363" 554 9 2
"364" 554 10 1
"365" 755 1 1
"366" 755 2 6
"367" 755 3 5
"368" 755 4 2
"369" 755 5 1
"370" 755 6 3
"371" 755 7 5
"372" 755 8 1
"373" 755 9 6
"374" 755 10 2
"375" 624 1 1
"376" 624 2 2
"377" 624 3 1
"378" 624 4 1
"379" 624 5 9
"380" 624 6 7
"381" 624 7 1
"382" 624 8 1
"383" 624 9 6
"384" 624 10 3
"385" 651 1 6
"386" 651 2 6
"387" 651 3 2
"388" 651 4 2
"389" 651 7 12
"390" 651 8 1
"391" 651 9 2
"392" 651 10 1
"393" 484 1 2
"394" 484 2 1
"395" 484 3 4
"396" 484 4 19
"397" 484 6 2
"398" 484 8 3
"399" 484 9 1
"400" 659 1 5
"401" 659 2 1
"402" 659 4 16
"403" 659 5 2
"404" 659 6 4
"405" 659 7 1
"406" 659 8 1
"407" 659 9 2
"408" 735 1 3
"409" 735 2 9
"410" 735 3 2
"411" 735 4 2
"412" 735 5 1
"413" 735 7 8
"414" 735 9 6
"415" 735 10 1
"416" 265 1 1
"417" 265 3 3
"418" 265 4 2
"419" 265 6 16
"420" 265 7 1
"421" 265 8 1
"422" 265 9 3
"423" 265 10 5
"424" 398 1 1
"425" 398 2 1
"426" 398 3 2
"427" 398 4 14
"428" 398 5 2
"429" 398 6 3
"430" 398 8 5
"431" 398 9 1
"432" 398 10 3
"433" 845 1 1
"434" 845 2 17
"435" 845 3 3
"436" 845 5 1
"437" 845 6 3
"438" 845 7 5
"439" 845 8 1
"440" 845 9 1
"441" 320 2 3
"442" 320 3 1
"443" 320 4 6
"444" 320 5 1
"445" 320 6 4
"446" 320 7 1
"447" 320 8 2
"448" 320 9 9
"449" 320 10 5
"450" 758 3 1
"451" 758 4 13
"452" 758 6 7
"453" 758 7 2
"454" 758 8 1
"455" 758 9 6
"456" 758 10 2
"457" 249 2 1
"458" 249 3 4
"459" 249 4 8
"460" 249 5 1
"461" 249 6 5
"462" 249 7 1
"463" 249 8 7
"464" 249 9 2
"465" 249 10 3
"466" 771 2 2
"467" 771 3 2
"468" 771 4 20
"469" 771 5 1
"470" 771 9 5
"471" 771 10 2
"472" 747 2 2
"473" 747 3 2
"474" 747 6 8
"475" 747 8 4
"476" 747 9 10
"477" 747 10 6
